top - 17:49:06 up  2:22,  1 user,  load average: 1,03, 0,33, 0,10
Tareas: 412 total,   1 ejecutar,  411 hibernar,    0 detener,    0 zombie
%Cpu(s):  4,0 us,  1,3 sy,  0,0 ni, 94,0 id,  0,7 wa,  0,0 hi,  0,0 si,  0,0 st 
MiB Mem :  31453,3 total,  22974,8 libre,   5227,1 usado,   3744,6 búf/caché    
MiB Intercambio:   2048,0 total,   2048,0 libre,      0,0 usado.  26226,1 dispon

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
 107281 dam       20   0   17228   5760   3584 R   9,1   0,0   0:00.02 top
     98 root      20   0       0      0      0 S   0,0   0,0   0:00.00 oom_rea+
     99 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    100 root      20   0       0      0      0 S   0,0   0,0   0:00.14 kcompac+
    101 root      25   5       0      0      0 S   0,0   0,0   0:00.00 ksmd
    102 root      39  19       0      0      0 S   0,0   0,0   0:00.00 khugepa+
    103 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    104 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    105 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    106 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/9-a+
    109 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    110 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    111 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    112 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    113 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    115 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    116 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 watchdo+
    117 root       0 -20       0      0      0 I   0,0   0,0   0:00.02 kworker+
    118 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kswapd0
    119 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ecryptf+
    120 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    129 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    131 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    132 root       0 -20       0      0      0 I   0,0   0,0   0:00.02 kworker+
    133 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    141 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
